name,email,contact_form_url,rating,reviews_count,location,country,website_url,profile_url,services,source,category,sub_category,min_project,hourly_rate,employees,team_size,tagline,scraped_at
NipsApp Game Studios,info@nipsapp.com,,5.0,114.0,"Trivandrum, India",India,https://nipsapp.com,https://clutch.co/profile/nipsapp-game-studios,"20/20 Reviews, 10/10 Clients & Experience, 6/10 Market Presence, 55% AR/VR Development, 45% Other",Clutch.co,Development,"AR/VR,Blockchain",,< $25 / hr,50 - 249,,,2026-02-21 01:17:42
Helpful Insight Private Limited,sales@helpfulinsightsolution.com,,5.0,112.0,"New York, NY",United States,https://helpfulinsightsolution.com?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,https://clutch.co/profile/helpful-insight-private,"60% Mobile App Development, 20% Web Development, 10% AI Development+1 service, 10% UX/UI Design",Clutch.co,"Design,Development","Design Agencies,UI/UX Design,App Development,Flutter,PHP,Python & Django,Web Development,WordPress",,$25 - $49 / hr,50 - 249,,,2026-02-21 01:02:16
NADCAB LABS,info@nadcab.com,,5.0,111.0,"Prayagraj, India",India,https://www.nadcab.com?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-blockchain,https://clutch.co/profile/nadcab-labs,"20/20 Reviews, 7.2/10 Clients & Experience, 7.2/10 Market Presence, 80% Blockchain, 20% Other",Clutch.co,Development,Blockchain,,$25 - $49 / hr,50 - 249,,,2026-02-21 01:17:21
Rave Digital,Unreachable,https://www.ravedigital.agency/clutch/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-magento,5.0,101.0,"Coral Springs, FL",United States,https://ravedigital.agency/clutch/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-ecommerce,https://clutch.co/profile/rave-digital,"20/20 Reviews, 10/10 Clients & Experience, 8.6/10 Market Presence, 90% E-Commerce Development, 10% Other",Clutch.co,"Design,Development","Design Agencies,Web Design,E-Commerce Development",,$100 - $149 / hr,250 - 999,,,2026-02-21 01:04:57
Outpace SEO,Unreachable,,5.0,101.0,"Oklahoma City, OK",United States,https://outpaceseo.com/clutch-top-rated-seo-agency/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,https://clutch.co/profile/outpace-seo,"10% Pay Per Click, 90% Search Engine Optimization",Clutch.co,Marketing,"Digital Marketing,PPC",,$100 - $149 / hr,10 - 49,,,2026-02-21 01:31:26
AppMakers USA,Unreachable,https://appmakersla.com/clutch/mobile/us/?utm_source=clutch.co&utm_medium=referral&utm_campaign=profile,5.0,96.0,"Los Angeles, CA",United States,https://appmakersla.com/clutch/mobile/us/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-flutter,https://clutch.co/profile/appmakers-usa,"20/20 Reviews, 10/10 Clients & Experience, 9.6/10 Market Presence, 10% Web Development, 55% Mobile App Development, 35% Other",Clutch.co,"Design,Development","Design Agencies,UI/UX Design,App Development,Flutter,Java,Python & Django,Web Development,WordPress",,$100 - $149 / hr,10 - 49,,,2026-02-21 01:02:05
OnHires,hello@onhires.com,,5.0,94.0,"Sheridan, WY",United States,https://onhires.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=hr-recruiting,https://clutch.co/profile/onhires,"19.4/20 Reviews, 10/10 Clients & Experience, 8.9/10 Market Presence, 50% Recruiting, 50% Other",Clutch.co,"Business Services,IT Services","HR Services,Recruiting,Staffing,IT Staff Augmentation",,$25 - $49 / hr,50 - 249,,,2026-02-21 01:27:52
RapidDev,contact@rapidevelopers.com,,5.0,93.0,,,https://www.rapidevelopers.com/clutch-lead?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,https://clutch.co/profile/rapiddev,"10% Mobile App Development, 40% Custom Software Development, 30% Web Development+2 services, 10% AI Development, 10% Low/No Code Development",Clutch.co,Development,"App Development,Custom Software Development,Web Development",,$50 - $99 / hr,10 - 49,,,2026-02-21 00:59:52
Rushkar Technology Private Limited,info@rushkar.com,,5.0,93.0,"Las Vegas, NV",United States,https://rushkar.com/get-quote.aspx,https://clutch.co/profile/rushkar-technology-private,"19.4/20 Reviews, 10/10 Clients & Experience, 10/10 Market Presence, 30% Custom Software Development44% .NET, 44% .NET, 10% Web Development, 60% Other",Clutch.co,"Development,IT Services",".NET,E-Commerce Development,Java,IT Staff Augmentation",,< $25 / hr,50 - 249,,,2026-02-21 01:09:49
NetSet Software Solutions,sales@netsetsoftware.com,,5.0,92.0,"Sahibzada Ajit Singh Nagar, India",India,https://netsetsoftware.com/services/blockchain-development-company.html?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-blockchain,https://clutch.co/profile/netset-software-solutions,"20/20 Reviews, 9.9/10 Clients & Experience, 8.5/10 Market Presence, 50% Blockchain, 50% Other",Clutch.co,Development,"App Development,Blockchain,Flutter",,$25 - $49 / hr,50 - 249,,,2026-02-21 01:03:32
UAMASTER,Unreachable,https://uamaster.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-digital-marketing,5.0,92.0,"Kyiv, Ukraine",Ukraine,https://uamaster.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-digital-marketing,https://clutch.co/profile/uamaster,"20/20 Reviews, 10/10 Clients & Experience, 9.5/10 Market Presence, 100% Digital Marketing",Clutch.co,Marketing,"Digital Marketing,PPC,Social Media Marketing",,$50 - $99 / hr,10 - 49,,,2026-02-21 01:31:17
PopArt Studio,info@popwebdesign.net,,5.0,91.0,"Chicago, IL",United States,https://www.popwebdesign.net/index_eng.html?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-design,https://clutch.co/profile/popart-studio,"20/20 Reviews, 10/10 Clients & Experience, 9.7/10 Market Presence, 55% Web Design, 45% Other",Clutch.co,"Design,Development,Marketing","Design Agencies,Web Design,.NET,PHP,Web Development,WordPress,Digital Marketing,Full-Service Digital",,$50 - $99 / hr,50 - 249,,,2026-02-21 01:01:28
JPLoft,sales@jploft.com,,5.0,91.0,"Denver, CO",United States,https://www.jploft.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,https://clutch.co/profile/jploft,"20/20 Reviews, 10/10 Clients & Experience, 9.7/10 Market Presence, 60% Mobile App Development, 40% Other",Clutch.co,"Design,Development","Design Agencies,UI/UX Design,App Development,Flutter,PHP,Python & Django,Web Development,WordPress",,$50 - $99 / hr,50 - 249,,,2026-02-21 01:01:56
VALMAX,hello@valmax.agency,,5.0,90.0,"Chicago, IL",United States,https://valmax.agency/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-design,https://clutch.co/profile/valmax,"20/20 Reviews, 10/10 Clients & Experience, 9.3/10 Market Presence, 55% Digital Design, 45% Other",Clutch.co,"Design,Development","Design Agencies,UI/UX Design,Web Design,E-Commerce Development,PHP,Web Development,WordPress",,$25 - $49 / hr,10 - 49,,,2026-02-21 01:02:05
Inweb,ask@inweb.ua,,5.0,90.0,"Odesa, Ukraine",Ukraine,https://inweb.ua/ua/,https://clutch.co/profile/inweb,"10% Social Media Marketing, 60% Search Engine Optimization, 30% Pay Per Click",Clutch.co,Marketing,"Digital Marketing,PPC,Social Media Marketing",,$50 - $99 / hr,50 - 249,,,2026-02-21 01:31:17
Top Remotely,hello@topremotely.com,,5.0,89.0,"Brooklyn, NY",United States,https://topremotely.com/,https://clutch.co/profile/top-remotely,"10% Web Development, 45% IT Staff Augmentation, 15% IT Managed Services+3 services, 10% Custom Software Development, 10% DevOps Managed Services, 10% ERP Consulting and SI",Clutch.co,"Development,IT Services",".NET,Custom Software Development,PHP,Python & Django,Web Development,WordPress,All IT Services,IT Staff Augmentation,Managed IT (MSP)",,< $25 / hr,"1,000 - 9,999",,,2026-02-21 01:01:02
Pharos Production Inc.,hello@pharosproduction.com,,5.0,87.0,"Las Vegas, NV",United States,https://pharosproduction.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-blockchain,https://clutch.co/profile/pharos-production,"20/20 Reviews, 10/10 Clients & Experience, 6.4/10 Market Presence, 65% Blockchain, 35% Other",Clutch.co,Development,Blockchain,,$25 - $49 / hr,10 - 49,,,2026-02-21 01:17:22
ProCoders,hello@procoders.tech,,5.0,87.0,"Lisboa, Portugal",Portugal,https://procoders.tech/it-staff-augmentation/?utm_source=clutch.co&utm_medium=referral&utm_campaign=it-services-staff-augmentation,https://clutch.co/profile/procoders,"19.6/20 Reviews, 10/10 Clients & Experience, 7/10 Market Presence, 70% IT Staff Augmentation, 30% Other",Clutch.co,IT Services,IT Staff Augmentation,,$25 - $49 / hr,50 - 249,,,2026-02-21 01:27:43
OuterBox,sales@outerbox.com,,5.0,87.0,"Copley, OH",United States,https://www.outerboxdesign.com/search-marketing/ppc-management/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-ppc,https://clutch.co/profile/outerbox,"20/20 Reviews, 10/10 Clients & Experience, 9.9/10 Market Presence, 25% Pay Per Click, 75% Other",Clutch.co,"Design,Marketing","Design Agencies,Web Design,Digital Marketing,Full-Service Digital,PPC",,$150 - $199 / hr,250 - 999,,,2026-02-21 01:29:32
Elit-Web,office@elit-web.com,,5.0,86.0,"Arlington Heights, IL",United States,https://elit-web.com/digital-marketing-services/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,https://clutch.co/profile/elit-web,"20/20 Reviews, 10/10 Clients & Experience, 9.7/10 Market Presence, 40% Pay Per Click, 60% Other",Clutch.co,Marketing,"Digital Marketing,PPC,Social Media Marketing",,$25 - $49 / hr,250 - 999,,,2026-02-21 01:31:16
Goji Labs,hello@gojilabs.com,,5.0,84.0,"Los Angeles, CA",United States,https://gojilabs.com/product-agency/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,https://clutch.co/profile/goji-labs,"30% Mobile App Development, 40% Custom Software Development, 10% AI Development+2 services, 10% UX/UI Design, 10% Web Design",Clutch.co,"Design,Development","Design Agencies,UI/UX Design,Web Design,App Development,Custom Software Development",,$100 - $149 / hr,50 - 249,,,2026-02-21 00:59:41
BrandLume Inc.,shine@brandlume.com,,5.0,83.0,"Toronto, Canada",Canada,https://brandlume.com/?utm_source=clutch.co&utm_medium=referral,https://clutch.co/profile/brandlume,"20% Pay Per Click, 20% Search Engine Optimization, 10% Advertising+6 services, 10% E-Commerce Development, 10% Social Media Marketing, 10% Web Design, 10% Web Development, 5% Branding, 5% Digital Strategy",Clutch.co,"Design,Development,Marketing","Design Agencies,Web Design,E-Commerce Development,Java,PHP,Web Development,WordPress,Digital Marketing,Full-Service Digital,PPC,Social Media Marketing",,$50 - $99 / hr,50 - 249,,,2026-02-21 01:02:56
Set2Close,Unreachable,,5.0,83.0,"kamloops, Canada",Canada,https://action.set2close.io/complimentary-revops-strategy-session-hubspot-audit?utm_source=clutch.co&utm_medium=referral&utm_campaign=it-services-crm,https://clutch.co/profile/set2close,"20/20 Reviews, 9.6/10 Clients & Experience, 7.6/10 Market Presence, 20% Business Consulting, 80% Other",Clutch.co,"Business Services,IT Services","Consulting,Small Business Consulting,All IT Services",,$200 - $300 / hr,10 - 49,,,2026-02-21 01:22:44
"Peeklogic, LLC",info@peeklogic.com,,5.0,83.0,"Austin, TX",United States,http://www.peeklogic.com/?utm_source=clutch.co&utm_medium=referral,https://clutch.co/profile/peeklogic,"85% CRM Consulting and SI, 14% Low/No Code Development, 1% Custom Software Development",Clutch.co,IT Services,All IT Services,,$25 - $49 / hr,50 - 249,,,2026-02-21 01:23:46
WPWeb Infotech,sales@wpwebinfotech.com,,5.0,80.0,"Ahmedabad, India",India,https://wpwebinfotech.com/wordpress-development/?utm_source=clutch.co/&utm_medium=referral&utm_campaign=developers-wordpress,https://clutch.co/profile/wpweb-infotech,"20/20 Reviews, 10/10 Clients & Experience, 9.7/10 Market Presence, 65% Web Development85% WordPress CMS, 85% WordPress CMS, 35% Other",Clutch.co,Development,"E-Commerce Development,PHP,Web Development,WordPress",,< $25 / hr,10 - 49,,,2026-02-21 01:01:28
PlutoSec,contact@plutosec.ca,,5.0,78.0,"Toronto, Canada",Canada,https://plutosec.ca,https://clutch.co/profile/plutosec,"15% Custom Software Development, 55% Cybersecurity, 20% Application Testing+1 service, 10% IT Managed Services",Clutch.co,"Development,IT Services","Custom Software Development,All IT Services,Cybersecurity,Managed IT (MSP)",,,50 - 249,,,2026-02-21 01:22:54
farsiight,growth@farsiight.com,,5.0,78.0,"South Brisbane, Australia",Australia,https://farsiight.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,https://clutch.co/profile/farsiight,"25% Pay Per Click, 20% Digital Strategy, 20% Social Media Marketing+3 services, 15% Demand Generation Marketing, 10% Advertising, 10% Graphic Design",Clutch.co,"Design,Marketing","Design Agencies,Digital Marketing,Full-Service Digital,PPC,Social Media Marketing",,$150 - $199 / hr,10 - 49,,,2026-02-21 01:29:42
Editorial.Link,info@editorial.link,,5.0,78.0,"Tallinn, Estonia",Estonia,https://editorial.link/,https://clutch.co/profile/editoriallink,"10% Content Marketing, 90% Search Engine Optimization",Clutch.co,Marketing,"Content Marketing,Digital Marketing",,$50 - $99 / hr,50 - 249,,,2026-02-21 01:31:26
Indeema,sales@indeema.com,,5.0,77.0,"Kraków, Poland",Poland,https://indeema.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,https://clutch.co/profile/indeema-0,"10% Custom Software Development, 60% IoT Development, 20% AI Development+1, 10% AI Agents, 30% .NET, 30% NodeJS, 20% React+3, 10% Angular, 5% Flutter, 5% NextJS",Clutch.co,Development,".NET,Custom Software Development",,$50 - $99 / hr,50 - 249,,,2026-02-21 01:00:13
Designli,hello@designli.co,,5.0,75.0,"Greenville, SC",United States,https://designli.co/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,https://clutch.co/profile/designli,"20/20 Reviews, 10/10 Clients & Experience, 9.9/10 Market Presence, 60% Mobile App Development, 40% Other",Clutch.co,"Design,Development","Design Agencies,UI/UX Design,App Development,Custom Software Development",,$50 - $99 / hr,250 - 999,,,2026-02-21 00:59:42
Solar Digital,sales@solar-digital.com,,5.0,75.0,"London, England",England,https://solar-digital.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,https://clutch.co/profile/solar-digital,"10% Mobile App Development, 20% Web Development, 10% AI Agents+6 services, 10% AI Consulting, 10% Custom Software Development, 10% E-Commerce Development, 10% Low/No Code Development, 10% UX/UI Design, 10% Web Design",Clutch.co,"Design,Development","Design Agencies,UI/UX Design,Web Design,App Development,Custom Software Development,E-Commerce Development,Flutter,PHP,Python & Django,Web Development,WordPress",,$50 - $99 / hr,10 - 49,,,2026-02-21 01:00:22
Social Media 55,info@socialmedia55.com,,5.0,75.0,"Montreal, Canada",Canada,https://www.socialmedia55.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,https://clutch.co/profile/social-media-55,"19.4/20 Reviews, 10/10 Clients & Experience, 9.6/10 Market Presence, 70% Social Media Marketing, 30% Other",Clutch.co,"Development,Marketing","E-Commerce Development,Digital Marketing,PPC,Social Media Marketing",,$100 - $149 / hr,10 - 49,,,2026-02-21 01:05:07
Cloudforgers Global PTE LTD,sales@cloudforgers.com,,5.0,75.0,,,https://cloudforgers.com/,https://clutch.co/profile/cloudforgers-global-pte,"20% Custom Software Development, 20% IT Staff Augmentation, 20% IT Strategy Consulting+4 services, 15% Cloud Consulting & SI, 10% Mobile App Development, 10% Web Development, 5% BI & Big Data Consulting & SI",Clutch.co,"Development,IT Services","Custom Software Development,Flutter,Java,PHP,Python & Django,All IT Services,IT Staff Augmentation",,$25 - $49 / hr,10 - 49,,,2026-02-21 01:07:14
INOXOFT,contact@inoxoft.com,,5.0,74.0,"Newark, DE",United States,https://inoxoft.com/,https://clutch.co/profile/inoxoft,"19.8/20 Reviews, 10/10 Clients & Experience, 10/10 Market Presence, 40% Custom Software Development30% Flutter, 30% Flutter, 40% Web Development, 20% Other",Clutch.co,Development,"Custom Software Development,Flutter,Python & Django,Web Development,WordPress",,$25 - $49 / hr,50 - 249,,,2026-02-21 00:59:42
WOLFPACK DIGITAL,Unreachable,https://www.wolfpack-digital.com/contact,5.0,73.0,"Cluj-Napoca, Romania",Romania,https://wolfpack-digital.com/?utm_source=clutch&utm_campaign=directory-mobile-application-developers,https://clutch.co/profile/wolfpack-digital,"45% Mobile App Development, 45% Web Development, 10% AI Development",Clutch.co,Development,"App Development,Flutter,Python & Django,Web Development,WordPress",,$50 - $99 / hr,50 - 249,,,2026-02-21 01:01:27
Bird Marketing,hello@bird.marketing,,5.0,73.0,"London, England",England,https://bird.marketing/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-digital,https://clutch.co/profile/bird-marketing,"20/20 Reviews, 10/10 Clients & Experience, 9.6/10 Market Presence, 30% Digital Design, 70% Digital Marketing",Clutch.co,"Design,Marketing","Design Agencies,Web Design,Digital Marketing,Full-Service Digital",,$100 - $149 / hr,10 - 49,,,2026-02-21 01:29:32
Uncap,hey@uncap.com,,5.0,72.0,"Chicago, IL",United States,https://www.uncap.com/,https://clutch.co/profile/uncap,100% E-Commerce Development,Clutch.co,Development,E-Commerce Development,,$100 - $149 / hr,10 - 49,,,2026-02-21 01:04:57
Arounda,info@arounda.agency,,5.0,72.0,"Tallinn, Estonia",Estonia,https://arounda.agency/contact/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-ui-ux,https://clutch.co/profile/arounda,"30% UX/UI Design, 30% Web Design, 30% Web Development+1 service, 10% Branding",Clutch.co,"Design,Development","Design Agencies,UI/UX Design,Web Design,Web Development,WordPress",,$25 - $49 / hr,10 - 49,,,2026-02-21 01:15:19
Netrocket,contact@netrocket.pro,,5.0,72.0,"Miami, FL",United States,https://netrocket.pro/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-ppc,https://clutch.co/profile/netrocket,"10% Pay Per Click, 70% Search Engine Optimization, 10% Advertising+1 service, 10% Marketing Strategy",Clutch.co,Marketing,"Digital Marketing,PPC",,$50 - $99 / hr,10 - 49,,,2026-02-21 01:31:37
Orases,Unreachable,https://www.orases.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,5.0,71.0,"Frederick, MD",United States,https://www.orases.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,https://clutch.co/profile/orases,"19.4/20 Reviews, 10/10 Clients & Experience, 9.7/10 Market Presence, 20% Web Development90% PHP, 90% PHP, 80% Other",Clutch.co,Development,"App Development,Custom Software Development,PHP,Web Development,WordPress",,$150 - $199 / hr,50 - 249,,,2026-02-21 01:00:03
UplineSoft,hello@uplinesoft.com,,5.0,70.0,"Charlotte, NC",United States,https://uplinesoft.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=it-services-staff-augmentation,https://clutch.co/profile/uplinesoft,"20/20 Reviews, 10/10 Clients & Experience, 8.9/10 Market Presence, 40% IT Staff Augmentation, 60% Other",Clutch.co,"Development,IT Services","Flutter,Java,IT Staff Augmentation",,$25 - $49 / hr,250 - 999,,,2026-02-21 01:09:49
Netpeak,k.polovinkina@netpeak.net,,5.0,69.0,"Odesa, Ukraine",Ukraine,https://netpeak.us/services/ppc/?utm_source=clutch.co&utm_medium=referral&utm_campaign=agencies-ppc,https://clutch.co/profile/netpeak,"10% Social Media Marketing, 40% Search Engine Optimization, 30% Pay Per Click+2 services, 10% Digital Strategy, 10% Other Digital Marketing",Clutch.co,Marketing,"Digital Marketing,PPC,Social Media Marketing",,$100 - $149 / hr,250 - 999,,,2026-02-21 01:31:17
Lizard Global,hello@lizard.global,,5.0,68.0,"Kuala Lumpur, Malaysia",Malaysia,https://lizard.global/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,https://clutch.co/profile/lizard-global,"20/20 Reviews, 10/10 Clients & Experience, 9.3/10 Market Presence, 60% Mobile App Development, 40% Other",Clutch.co,Development,"App Development,Custom Software Development,Python & Django,Web Development",,$50 - $99 / hr,50 - 249,,,2026-02-21 01:00:22
itCraft,hello@itcraftapps.com,,5.0,68.0,"Warszawa, Poland",Poland,https://itcraftapps.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=profile,https://clutch.co/profile/itcraft,"17.6/20 Reviews, 10/10 Clients & Experience, 9.6/10 Market Presence, 50% Custom Software Development50% Flutter, 50% Flutter, 50% Mobile App Development",Clutch.co,Development,"Flutter,Java",,$50 - $99 / hr,50 - 249,,,2026-02-21 01:09:40
eSEOspace,Unreachable,,5.0,68.0,"San Diego, CA",United States,https://eseospace.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-designers,https://clutch.co/profile/eseospace,"20/20 Reviews, 9.7/10 Clients & Experience, 9.4/10 Market Presence, 60% Web Design, 40% Other",Clutch.co,"Design,Development,Marketing","Web Design,E-Commerce Development,Full-Service Digital",,$50 - $99 / hr,10 - 49,,,2026-02-21 01:29:33
Geniusee,info@geniusee.com,,5.0,67.0,"Middletown, DE",United States,https://geniusee.com/?utm_source=Clutch&utm_medium=referral&utm_campaign=developers-java,https://clutch.co/profile/geniusee,"20/20 Reviews, 10/10 Clients & Experience, 10/10 Market Presence, 40% Custom Software Development20% Java, 20% Java, 40% Web Development, 20% Other",Clutch.co,"Development,IT Services",".NET,Custom Software Development,Freelance Developers,Java,PHP,Python & Django,Web Development,All IT Services",,$25 - $49 / hr,250 - 999,,,2026-02-21 00:59:41
Visions Design,info@visionsdesign.co.uk,,5.0,67.0,"Lymm , England",England,https://visionsdesign.co.uk/clutch?utm_source=clutch.co&utm_medium=referral&utm_campaign=web-designers,https://clutch.co/profile/visions-design-0,"30% Web Design, 30% Branding, 30% Web Development+1 service, 10% Search Engine Optimization",Clutch.co,"Design,Development,Marketing","Design Agencies,Web Design,Java,PHP,Web Development,WordPress,Digital Marketing,Full-Service Digital",,$50 - $99 / hr,10 - 49,,,2026-02-21 01:01:46
RegisTeam,hello@registeam.com,,5.0,67.0,"Kyiv, Ukraine",Ukraine,https://registeam.net/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,https://clutch.co/profile/registeam,"50% Search Engine Optimization, 40% Pay Per Click, 10% CRM Consulting and SI",Clutch.co,"IT Services,Marketing","All IT Services,Digital Marketing,PPC",,$50 - $99 / hr,10 - 49,,,2026-02-21 01:34:05
FunkyMEDIA,biuro@funkymedia.pl,,5.0,67.0,"Łódź, Poland",Poland,https://funkymedia.pl,https://clutch.co/profile/funkymedia,"15% Pay Per Click, 20% Content Marketing, 20% Generative AI+6 services, 20% Search Engine Optimization, 5% AI Agents, 5% AI Consulting, 5% AI Development, 5% Public Relations, 5% Social Media Marketing",Clutch.co,Marketing,"Content Marketing,PPC",,$25 - $49 / hr,10 - 49,,,2026-02-21 01:34:35
ExpandX,office@expandx.com,,5.0,66.0,"Sofia, Bulgaria",Bulgaria,http://expandx.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,https://clutch.co/profile/expandx,"10% Web Design, 30% Web Development, 20% E-Commerce Development+2 services, 20% Pay Per Click, 20% Social Media Marketing",Clutch.co,"Design,Development,Marketing","Design Agencies,Web Design,E-Commerce Development,Java,PHP,Web Development,WordPress,Digital Marketing,Full-Service Digital,PPC,Social Media Marketing",,$50 - $99 / hr,10 - 49,,,2026-02-21 01:01:56
